#{"t_start": 1767536077.5276003, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.95,20,234.833777
0.96,16,234.85282
0.955,18,234.877702
0.9575,17,234.897921
0.9575,17,234.918009
0.95,20,234.948395
0.9525,19,234.979603
0.9375,25,235.027663
0.96,16,235.054817
0.9575,17,235.082404
0.9675,13,235.104819
0.9675,13,235.123805
0.965,14,235.144054
0.96,16,235.173747
0.9525,19,235.20897
0.9525,19,235.243837
0.95,20,235.282648
0.965,14,235.309808
0.965,14,235.338041
0.97,12,235.360253
0.9675,13,235.387953
0.975,10,235.409093
0.97,12,235.433288
0.9375,25,235.480775
0.9575,17,235.510477
0.9725,11,235.526064
0.97,12,235.540663
0.9675,13,235.560822
0.96,16,235.586969
0.9625,15,235.60562
0.9675,13,235.620859
0.9625,15,235.637929
0.9675,13,235.653703
0.975,10,235.665757
0.95,20,235.688894
0.9625,15,235.706922
0.9375,25,235.737368
0.9525,19,235.759364
0.97,12,235.774969
0.935,26,235.807673
0.9525,19,235.829821
0.9625,15,235.847853
0.96,16,235.871174
0.965,14,235.887754
0.95,20,235.910826
0.9475,21,235.935939
0.9725,11,238.001613
0.9625,15,238.022718
0.9725,11,238.039835
0.955,18,238.065909
0.975,10,238.080994
0.9525,19,238.108615
0.9675,13,238.127181
0.97,12,238.146765
0.9575,17,238.170863
0.9625,15,238.19098
0.96,16,238.216958
0.965,14,238.239647
0.965,14,238.265755
0.96,16,238.291929
0.97,12,238.305324
0.945,22,238.331051
0.97,12,238.34549
0.96,16,238.365413
0.9625,15,238.383428
0.97,12,238.398917
0.94,24,238.429082
0.7675,93,238.539511
0.925,30,238.574699
0.9725,11,238.58776
0.9675,13,238.604145
0.9675,13,238.618738
0.9575,17,238.638826
0.96,16,238.657861
0.965,14,238.674931
0.9725,11,238.687967
0.9725,11,238.701493
0.9625,15,238.718753
0.94,24,238.747819
0.9675,13,238.762959
0.9775,9,238.773981
0.95,20,238.798199
0.97,12,238.812741
0.965,14,238.829291
0.945,22,238.855362
0.9575,17,238.87498
0.94,24,238.903639
0.975,10,238.916196
0.9725,11,238.928764
0.965,14,238.944829
0.975,10,238.956941
0.9675,13,238.973034
0.9575,17,238.99342
0.95,20,239.017644
0.9575,17,239.038761
0.9725,11,239.052034
0.965,14,239.068116
0.9675,13,239.084133
0.9675,13,239.099702
0.9625,15,239.118776
0.875,50,239.177866
0.97,12,239.191972
0.9375,25,239.222649
0.9625,15,239.242724
0.9625,15,239.262034
0.9425,23,239.28871
0.965,14,239.305747
0.95,20,239.331953
0.95,20,239.355242
0.95,20,239.378586
0.9475,21,239.405785
0.955,18,239.428838
0.955,18,239.449756
0.975,10,239.461777
0.9625,15,239.47987
0.96,16,239.498414
0.95,20,239.523949
0.96,16,239.543057
0.975,10,239.55463
0.9625,15,239.571765
